# 格式：词语 代码/简称 词性（n=名词）
贵州茅台 600519 n
宁德时代 300750 n
比亚迪 002594 n
招商银行 600036 n
工商银行 601398 n
建设银行 601939 n
农业银行 601288 n
中国银行 601988 n
中国石油 601857 n
中国石化 600028 n
中国人寿 601628 n
中国平安 601318 n
贵州茅台 600519 n
五粮液 000858 n
泸州老窖 000568 n
洋河股份 002304 n
山西汾酒 600809 n
宁德时代 300750 n
比亚迪 002594 n
特斯拉 TSLA n
蔚来 NIO n
小鹏 XPEV n
理想汽车 LI n
隆基绿能 601012 n
中环股份 002129 n
晶澳科技 002459 n
天合光能 688599 n
通威股份 600438 n
亿纬锂能 300014 n
赣锋锂业 002460 n
天齐锂业 002466 n
宁德时代 300750 n
比亚迪 002594 n
特斯拉 TSLA n
蔚来 NIO n
小鹏 XPEV n
理想汽车 LI n
隆基绿能 601012 n
中环股份 002129 n
晶澳科技 002459 n
天合光能 688599 n
通威股份 600438 n
亿纬锂能 300014 n
赣锋锂业 002460 n
天齐锂业 002466 n
长江电力 600900 n
华能国际 600011 n
国电投能源 002128 n
中国神华 601088 n
陕西煤业 601225 n
宁德时代 300750 n
比亚迪 002594 n
特斯拉 TSLA n
蔚来 NIO n
小鹏 XPEV n
理想汽车 LI n
隆基绿能 601012 n
中环股份 002129 n
晶澳科技 002459 n
天合光能 688599 n
通威股份 600438 n
亿纬锂能 300014 n
赣锋锂业 002460 n
天齐锂业 002466 n
贵州茅台 600519 n
五粮液 000858 n
泸州老窖 000568 n
洋河股份 002304 n
山西汾酒 600809 n
招商银行 600036 n
工商银行 601398 n
建设银行 601939 n
农业银行 601288 n
中国银行 601988 n
中国石油 601857 n
中国石化 600028 n
中国人寿 601628 n
中国平安 601318 n
宁德时代 300750 n
比亚迪 002594 n
特斯拉 TSLA n
蔚来 NIO n
小鹏 XPEV n
理想汽车 LI n
隆基绿能 601012 n
中环股份 002129 n
晶澳科技 002459 n
天合光能 688599 n
通威股份 600438 n
亿纬锂能 300014 n
赣锋锂业 002460 n
天齐锂业 002466 n
长江电力 600900 n
华能国际 600011 n
国电投能源 002128 n
中国神华 601088 n
陕西煤业 601225 n
中芯国际 688981 n
台积电 TSM n
三星电子 005930 n
中微公司 688012 n
北方华创 002371 n
中芯国际 688981 n
台积电 TSM n
三星电子 005930 n
中微公司 688012 n
北方华创 002371 n
恒瑞医药 600276 n
药明康德 603259 n
迈瑞医疗 300760 n
智飞生物 300122 n
长春高新 000661 n
宁德时代 300750 n
比亚迪 002594 n
特斯拉 TSLA n
蔚来 NIO n
小鹏 XPEV n
理想汽车 LI n
隆基绿能 601012 n
中环股份 002129 n
晶澳科技 002459 n
天合光能 688599 n
通威股份 600438 n
亿纬锂能 300014 n
赣锋锂业 002460 n
天齐锂业 002466 n
贵州茅台 600519 n
五粮液 000858 n
泸州老窖 000568 n
洋河股份 002304 n
山西汾酒 600809 n
招商银行 600036 n
工商银行 601398 n
建设银行 601939 n
农业银行 601288 n
中国银行 601988 n
中国石油 601857 n
中国石化 600028 n
中国人寿 601628 n
中国平安 601318 n
宁德时代 300750 n
比亚迪 002594 n
特斯拉 TSLA n
蔚来 NIO n
小鹏 XPEV n
理想汽车 LI n
隆基绿能 601012 n
中环股份 002129 n
晶澳科技 002459 n
天合光能 688599 n
通威股份 600438 n
亿纬锂能 300014 n
赣锋锂业 002460 n
天齐锂业 002466 n
长江电力 600900 n
华能国际 600011 n
国电投能源 002128 n
中国神华 601088 n
陕西煤业 601225 n
中芯国际 688981 n
台积电 TSM n
三星电子 005930 n
中微公司 688012 n
北方华创 002371 n
恒瑞医药 600276 n
药明康德 603259 n
迈瑞医疗 300760 n
智飞生物 300122 n
长春高新 000661 n
宁德时代 300750 n
比亚迪 002594 n
特斯拉 TSLA n
蔚来 NIO n
小鹏 XPEV n
理想汽车 LI n
隆基绿能 601012 n
中环股份 002129 n
晶澳科技 002459 n
天合光能 688599 n
通威股份 600438 n
亿纬锂能 300014 n
赣锋锂业 002460 n
天齐锂业 002466 n
  
